[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-27 19:45:02,317: Logging to: logs/2017_Oct_27/OpenCVCamera/19_45_02.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-27 19:45:08,621: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:09,475: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:12,504: received 90 messages in 3 seconds. 91 received in total (avg=8.9 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:15,531: received 91 messages in 3 seconds. 182 received in total (avg=13.8 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-27 19:45:17,261: [log buffer start]
[DEBUG, 1509147917.3063598]: ImageMessage(t=1509147917.3063533, n=234)
[DEBUG, 1509147917.3297427]: ImageMessage(t=1509147917.3297343, n=235)
[DEBUG, 1509147917.3658185]: ImageMessage(t=1509147917.3658092, n=236)
[DEBUG, 1509147917.3931358]: ImageMessage(t=1509147917.3931239, n=237)
[DEBUG, 1509147917.4416087]: ImageMessage(t=1509147917.4416025, n=238)
[DEBUG, 1509147917.457467]: ImageMessage(t=1509147917.457461, n=239)
[DEBUG, 1509147917.4889624]: ImageMessage(t=1509147917.488956, n=240)
[DEBUG, 1509147917.531469]: ImageMessage(t=1509147917.5314584, n=241)
[DEBUG, 1509147917.5645902]: ImageMessage(t=1509147917.5645788, n=242)
[DEBUG, 1509147917.6063268]: ImageMessage(t=1509147917.6063166, n=243)
[DEBUG, 1509147917.6324897]: ImageMessage(t=1509147917.6324785, n=244)
[DEBUG, 1509147917.681936]: ImageMessage(t=1509147917.6819308, n=245)
[DEBUG, 1509147917.6887476]: ImageMessage(t=1509147917.6887424, n=246)
[DEBUG, 1509147917.7259095]: ImageMessage(t=1509147917.7259004, n=247)
[DEBUG, 1509147917.7616775]: ImageMessage(t=1509147917.7616675, n=248)
[DEBUG, 1509147917.7937627]: ImageMessage(t=1509147917.7937505, n=249)
[DEBUG, 1509147917.8286686]: ImageMessage(t=1509147917.828657, n=250)
[DEBUG, 1509147917.8617277]: ImageMessage(t=1509147917.8617167, n=251)
[DEBUG, 1509147917.9118707]: ImageMessage(t=1509147917.911866, n=252)
[DEBUG, 1509147917.9251666]: ImageMessage(t=1509147917.9251597, n=253)
[DEBUG, 1509147917.9638429]: ImageMessage(t=1509147917.9638329, n=254)
[DEBUG, 1509147917.9937477]: ImageMessage(t=1509147917.9937353, n=255)
[DEBUG, 1509147918.0315955]: ImageMessage(t=1509147918.0315835, n=256)
[DEBUG, 1509147918.0653093]: ImageMessage(t=1509147918.0652483, n=257)
[DEBUG, 1509147918.1135108]: ImageMessage(t=1509147918.1135004, n=258)
[DEBUG, 1509147918.1581872]: ImageMessage(t=1509147918.1581805, n=259)
[DEBUG, 1509147918.163975]: ImageMessage(t=1509147918.1639705, n=260)
[DEBUG, 1509147918.1892855]: ImageMessage(t=1509147918.1892793, n=261)
[DEBUG, 1509147918.2289658]: ImageMessage(t=1509147918.228956, n=262)
[DEBUG, 1509147918.2618797]: ImageMessage(t=1509147918.2618692, n=263)
[DEBUG, 1509147918.2937024]: ImageMessage(t=1509147918.2936907, n=264)
[DEBUG, 1509147918.3379667]: ImageMessage(t=1509147918.3379574, n=265)
[DEBUG, 1509147918.3752775]: ImageMessage(t=1509147918.3752723, n=266)
[DEBUG, 1509147918.3898034]: ImageMessage(t=1509147918.3897967, n=267)
[DEBUG, 1509147918.4282963]: ImageMessage(t=1509147918.4282873, n=268)
[DEBUG, 1509147918.4607658]: ImageMessage(t=1509147918.4607565, n=269)
[DEBUG, 1509147918.4949672]: ImageMessage(t=1509147918.494932, n=270)
[DEBUG, 1509147918.5199547]: ImageMessage(t=1509147918.5199494, n=271)
[DEBUG, 1509147918.5595517]: ImageMessage(t=1509147918.5595427, n=272)
[DEBUG, 1509147918.5942488]: ImageMessage(t=1509147918.594239, n=273)
[DEBUG, 1509147918.6297293]: ImageMessage(t=1509147918.6297188, n=274)
[DEBUG, 1509147918.6719346]: ImageMessage(t=1509147918.6719248, n=275)
[DEBUG, 1509147918.702059]: ImageMessage(t=1509147918.7020528, n=276)
[DEBUG, 1509147918.7277937]: ImageMessage(t=1509147918.7277834, n=277)
[DEBUG, 1509147918.759571]: ImageMessage(t=1509147918.7595618, n=278)
[DEBUG, 1509147918.7963092]: ImageMessage(t=1509147918.7962961, n=279)
[DEBUG, 1509147918.8297775]: ImageMessage(t=1509147918.829767, n=280)
[DEBUG, 1509147918.8643765]: ImageMessage(t=1509147918.8643644, n=281)
[DEBUG, 1509147918.9001427]: ImageMessage(t=1509147918.900135, n=282)
[DEBUG, 1509147918.9392762]: ImageMessage(t=1509147918.9392712, n=283)
[DEBUG, 1509147918.9589195]: ImageMessage(t=1509147918.9589126, n=284)
[DEBUG, 1509147918.9890099]: ImageMessage(t=1509147918.989003, n=285)
[DEBUG, 1509147919.0291426]: ImageMessage(t=1509147919.0291328, n=286)
[DEBUG, 1509147919.0615757]: ImageMessage(t=1509147919.0615644, n=287)
[DEBUG, 1509147919.0893703]: ImageMessage(t=1509147919.0893633, n=288)
[DEBUG, 1509147919.1294851]: ImageMessage(t=1509147919.1294749, n=289)
[DEBUG, 1509147919.1722586]: ImageMessage(t=1509147919.1722522, n=290)
[DEBUG, 1509147919.1915758]: ImageMessage(t=1509147919.191569, n=291)
[DEBUG, 1509147919.2268724]: ImageMessage(t=1509147919.2268655, n=292)
[DEBUG, 1509147919.2626553]: ImageMessage(t=1509147919.2626443, n=293)
[DEBUG, 1509147919.296939]: ImageMessage(t=1509147919.2969294, n=294)
[DEBUG, 1509147919.3317409]: ImageMessage(t=1509147919.3317304, n=295)
[DEBUG, 1509147919.3687987]: ImageMessage(t=1509147919.368789, n=296)
[DEBUG, 1509147919.4147372]: ImageMessage(t=1509147919.4147325, n=297)
[DEBUG, 1509147919.4239972]: ImageMessage(t=1509147919.423992, n=298)
