[QuadEncoder @ factory.py:85][DEBUG] 2017-11-15 17:48:33,319: Logging to: logs/2017_Nov_15/QuadEncoder/17_48_33.log
[QuadEncoder @ arduino.py:88][INFO] 2017-11-15 17:48:38,273: configuring done. Finding whoiam=Quadrature-Encoder
[QuadEncoder @ arduino.py:55][INFO] 2017-11-15 17:48:38,273: Quadrature-Encoder's setup complete
[QuadEncoder @ arduino.py:159][INFO] 2017-11-15 17:48:39,560: Device has started!
[QuadEncoder @ arduino.py:160][INFO] 2017-11-15 17:48:39,563: init packet: 
[QuadEncoder @ quad_encoder.py:86][INFO] 2017-11-15 17:48:39,769: start tick value: 0
[QuadEncoder @ arduino.py:188][INFO] 2017-11-15 17:48:42,566: found 113 packets in 3s (avg=37.7 packets/sec). 113 received in total (avg=37.6 packets/sec)
[QuadEncoder @ node.py:79][DEBUG] 2017-11-15 17:48:42,846: [log buffer start]
[DEBUG, 1510786123.271444]: EncoderMessage(t=1510786123.271444, n=140, pt=1510786123.2506576, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.2921002]: EncoderMessage(t=1510786123.2921002, n=141, pt=1510786123.271444, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.3230004]: EncoderMessage(t=1510786123.3230004, n=142, pt=1510786123.2921002, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.3438895]: EncoderMessage(t=1510786123.3438895, n=143, pt=1510786123.3230004, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.3748965]: EncoderMessage(t=1510786123.3748965, n=144, pt=1510786123.3438895, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.3954864]: EncoderMessage(t=1510786123.3954864, n=145, pt=1510786123.3748965, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.4264185]: EncoderMessage(t=1510786123.4264185, n=146, pt=1510786123.3954864, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.4471214]: EncoderMessage(t=1510786123.4471214, n=147, pt=1510786123.4264185, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.467697]: EncoderMessage(t=1510786123.467697, n=148, pt=1510786123.4471214, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.4984798]: EncoderMessage(t=1510786123.4984798, n=149, pt=1510786123.467697, tick=0, dist=0.0, ptick=0, pdist=0.0)
