[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-28 07:00:06,215: Logging to: logs/2017_Oct_28/OpenCVCamera/07_00_06.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-28 07:00:12,316: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:13,297: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:16,344: received 46 messages in 3 seconds. 47 received in total (avg=4.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:19,407: received 46 messages in 3 seconds. 93 received in total (avg=7.0 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:22,470: received 46 messages in 3 seconds. 139 received in total (avg=8.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:25,524: received 46 messages in 3 seconds. 185 received in total (avg=9.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:28,585: received 46 messages in 3 seconds. 231 received in total (avg=10.3 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-28 07:00:28,780: [log buffer start]
[DEBUG, 1509188424.1948783]: ImageMessage(t=1509188424.1948698, n=164)
[DEBUG, 1509188424.263931]: ImageMessage(t=1509188424.2639196, n=165)
[DEBUG, 1509188424.3251588]: ImageMessage(t=1509188424.32515, n=166)
[DEBUG, 1509188424.3957512]: ImageMessage(t=1509188424.3957415, n=167)
[DEBUG, 1509188424.4638584]: ImageMessage(t=1509188424.4638474, n=168)
[DEBUG, 1509188424.5292544]: ImageMessage(t=1509188424.5292451, n=169)
[DEBUG, 1509188424.5933692]: ImageMessage(t=1509188424.593361, n=170)
[DEBUG, 1509188424.6620336]: ImageMessage(t=1509188424.662024, n=171)
[DEBUG, 1509188424.7274714]: ImageMessage(t=1509188424.7274613, n=172)
[DEBUG, 1509188424.7956972]: ImageMessage(t=1509188424.795688, n=173)
[DEBUG, 1509188424.8600583]: ImageMessage(t=1509188424.8600476, n=174)
[DEBUG, 1509188424.9290156]: ImageMessage(t=1509188424.9290023, n=175)
[DEBUG, 1509188424.9947522]: ImageMessage(t=1509188424.9947422, n=176)
[DEBUG, 1509188425.059147]: ImageMessage(t=1509188425.0591378, n=177)
[DEBUG, 1509188425.127358]: ImageMessage(t=1509188425.1273482, n=178)
[DEBUG, 1509188425.195511]: ImageMessage(t=1509188425.195501, n=179)
[DEBUG, 1509188425.2642903]: ImageMessage(t=1509188425.2642815, n=180)
[DEBUG, 1509188425.3280454]: ImageMessage(t=1509188425.3280344, n=181)
[DEBUG, 1509188425.3914344]: ImageMessage(t=1509188425.3914247, n=182)
[DEBUG, 1509188425.459061]: ImageMessage(t=1509188425.4590518, n=183)
[DEBUG, 1509188425.5237753]: ImageMessage(t=1509188425.523765, n=184)
[DEBUG, 1509188425.5882244]: ImageMessage(t=1509188425.5882125, n=185)
[DEBUG, 1509188425.6598327]: ImageMessage(t=1509188425.6598203, n=186)
[DEBUG, 1509188425.7247815]: ImageMessage(t=1509188425.7247703, n=187)
[DEBUG, 1509188425.78769]: ImageMessage(t=1509188425.7876782, n=188)
[DEBUG, 1509188425.8558452]: ImageMessage(t=1509188425.8558347, n=189)
[DEBUG, 1509188425.9275239]: ImageMessage(t=1509188425.9275126, n=190)
[DEBUG, 1509188425.987283]: ImageMessage(t=1509188425.987272, n=191)
[DEBUG, 1509188426.055242]: ImageMessage(t=1509188426.055232, n=192)
[DEBUG, 1509188426.1236076]: ImageMessage(t=1509188426.1235962, n=193)
[DEBUG, 1509188426.191565]: ImageMessage(t=1509188426.1915545, n=194)
[DEBUG, 1509188426.260089]: ImageMessage(t=1509188426.260076, n=195)
[DEBUG, 1509188426.3236983]: ImageMessage(t=1509188426.3236868, n=196)
[DEBUG, 1509188426.3870442]: ImageMessage(t=1509188426.3870342, n=197)
[DEBUG, 1509188426.455275]: ImageMessage(t=1509188426.4552646, n=198)
[DEBUG, 1509188426.5196354]: ImageMessage(t=1509188426.5196252, n=199)
[DEBUG, 1509188426.5887227]: ImageMessage(t=1509188426.5887122, n=200)
[DEBUG, 1509188426.6599138]: ImageMessage(t=1509188426.6598399, n=201)
[DEBUG, 1509188426.7232707]: ImageMessage(t=1509188426.7232609, n=202)
[DEBUG, 1509188426.7868218]: ImageMessage(t=1509188426.7868118, n=203)
[DEBUG, 1509188426.8548489]: ImageMessage(t=1509188426.8548386, n=204)
[DEBUG, 1509188426.9188766]: ImageMessage(t=1509188426.9188669, n=205)
[DEBUG, 1509188426.9908009]: ImageMessage(t=1509188426.99079, n=206)
[DEBUG, 1509188427.0509648]: ImageMessage(t=1509188427.050953, n=207)
[DEBUG, 1509188427.1229217]: ImageMessage(t=1509188427.1229115, n=208)
[DEBUG, 1509188427.1901362]: ImageMessage(t=1509188427.190126, n=209)
[DEBUG, 1509188427.2545836]: ImageMessage(t=1509188427.254572, n=210)
[DEBUG, 1509188427.3176491]: ImageMessage(t=1509188427.31764, n=211)
[DEBUG, 1509188427.3869197]: ImageMessage(t=1509188427.3869092, n=212)
[DEBUG, 1509188427.4515157]: ImageMessage(t=1509188427.451504, n=213)
[DEBUG, 1509188427.5223691]: ImageMessage(t=1509188427.5223591, n=214)
[DEBUG, 1509188427.585786]: ImageMessage(t=1509188427.585777, n=215)
[DEBUG, 1509188427.6520338]: ImageMessage(t=1509188427.652024, n=216)
[DEBUG, 1509188427.7233145]: ImageMessage(t=1509188427.7233026, n=217)
[DEBUG, 1509188427.7865689]: ImageMessage(t=1509188427.786555, n=218)
[DEBUG, 1509188427.8504512]: ImageMessage(t=1509188427.8504415, n=219)
[DEBUG, 1509188427.9186602]: ImageMessage(t=1509188427.9186487, n=220)
[DEBUG, 1509188427.9858415]: ImageMessage(t=1509188427.9858322, n=221)
[DEBUG, 1509188428.0541787]: ImageMessage(t=1509188428.0541677, n=222)
[DEBUG, 1509188428.1187682]: ImageMessage(t=1509188428.1187572, n=223)
[DEBUG, 1509188428.1825457]: ImageMessage(t=1509188428.1825356, n=224)
[DEBUG, 1509188428.2504656]: ImageMessage(t=1509188428.2504551, n=225)
[DEBUG, 1509188428.3186297]: ImageMessage(t=1509188428.318619, n=226)
[DEBUG, 1509188428.3861194]: ImageMessage(t=1509188428.386109, n=227)
[DEBUG, 1509188428.4538474]: ImageMessage(t=1509188428.4538388, n=228)
[DEBUG, 1509188428.5172157]: ImageMessage(t=1509188428.5172067, n=229)
[DEBUG, 1509188428.5851204]: ImageMessage(t=1509188428.5851104, n=230)
[DEBUG, 1509188428.6541567]: ImageMessage(t=1509188428.6541471, n=231)
[DEBUG, 1509188428.715333]: ImageMessage(t=1509188428.7153225, n=232)
[DEBUG, 1509188428.780137]: ImageMessage(t=1509188428.7801273, n=233)
[log buffer end]
[OpenCVCamera @ node.py:81][DEBUG] 2017-10-28 07:00:28,781: logging message buffer (len=16415)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:31,643: received 46 messages in 3 seconds. 277 received in total (avg=10.9 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:34,696: received 46 messages in 3 seconds. 323 received in total (avg=11.3 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:37,757: received 46 messages in 3 seconds. 369 received in total (avg=11.7 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:40,822: received 46 messages in 3 seconds. 415 received in total (avg=12.0 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:43,880: received 46 messages in 3 seconds. 461 received in total (avg=12.2 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-28 07:00:44,278: [log buffer start]
[DEBUG, 1509188428.8502002]: ImageMessage(t=1509188428.850189, n=234)
[DEBUG, 1509188428.9172826]: ImageMessage(t=1509188428.9172719, n=235)
[DEBUG, 1509188428.985125]: ImageMessage(t=1509188428.9851139, n=236)
[DEBUG, 1509188429.0494258]: ImageMessage(t=1509188429.049417, n=237)
[DEBUG, 1509188429.1173275]: ImageMessage(t=1509188429.1173158, n=238)
[DEBUG, 1509188429.186501]: ImageMessage(t=1509188429.186489, n=239)
[DEBUG, 1509188429.2493732]: ImageMessage(t=1509188429.249364, n=240)
[DEBUG, 1509188429.3133526]: ImageMessage(t=1509188429.3133423, n=241)
[DEBUG, 1509188429.3814464]: ImageMessage(t=1509188429.381437, n=242)
[DEBUG, 1509188429.445535]: ImageMessage(t=1509188429.4455242, n=243)
[DEBUG, 1509188429.5135899]: ImageMessage(t=1509188429.5135791, n=244)
[DEBUG, 1509188429.5792694]: ImageMessage(t=1509188429.5791848, n=245)
[DEBUG, 1509188429.6483228]: ImageMessage(t=1509188429.648313, n=246)
[DEBUG, 1509188429.716805]: ImageMessage(t=1509188429.716795, n=247)
[DEBUG, 1509188429.7789068]: ImageMessage(t=1509188429.7788944, n=248)
[DEBUG, 1509188429.845231]: ImageMessage(t=1509188429.845221, n=249)
[DEBUG, 1509188429.9131067]: ImageMessage(t=1509188429.9130955, n=250)
[DEBUG, 1509188429.9773343]: ImageMessage(t=1509188429.9773233, n=251)
[DEBUG, 1509188430.048371]: ImageMessage(t=1509188430.0483606, n=252)
[DEBUG, 1509188430.1127963]: ImageMessage(t=1509188430.1127853, n=253)
[DEBUG, 1509188430.1813748]: ImageMessage(t=1509188430.1813662, n=254)
[DEBUG, 1509188430.2448235]: ImageMessage(t=1509188430.2448127, n=255)
[DEBUG, 1509188430.3089368]: ImageMessage(t=1509188430.3089254, n=256)
[DEBUG, 1509188430.3800108]: ImageMessage(t=1509188430.3799992, n=257)
[DEBUG, 1509188430.4477727]: ImageMessage(t=1509188430.4477618, n=258)
[DEBUG, 1509188430.5125642]: ImageMessage(t=1509188430.512455, n=259)
